"filename", "language", "C++", "comment", "blank", "total"
"/Users/lukedigiovanna/Programming/cpp/videogame/src/main.cpp", "C++", 106, 2, 30, 138
"/Users/lukedigiovanna/Programming/cpp/videogame/src/render/Camera.cpp", "C++", 58, 1, 18, 77
"/Users/lukedigiovanna/Programming/cpp/videogame/src/render/Camera.h", "C++", 27, 8, 7, 42
"/Users/lukedigiovanna/Programming/cpp/videogame/src/render/Light.cpp", "C++", 66, 2, 25, 93
"/Users/lukedigiovanna/Programming/cpp/videogame/src/render/Light.h", "C++", 27, 0, 9, 36
"/Users/lukedigiovanna/Programming/cpp/videogame/src/render/Mesh.cpp", "C++", 55, 8, 12, 75
"/Users/lukedigiovanna/Programming/cpp/videogame/src/render/Mesh.h", "C++", 14, 0, 3, 17
"/Users/lukedigiovanna/Programming/cpp/videogame/src/render/Shader.cpp", "C++", 66, 3, 12, 81
"/Users/lukedigiovanna/Programming/cpp/videogame/src/render/Shader.h", "C++", 19, 0, 4, 23
"/Users/lukedigiovanna/Programming/cpp/videogame/src/render/Texture.cpp", "C++", 31, 2, 8, 41
"/Users/lukedigiovanna/Programming/cpp/videogame/src/render/Texture.h", "C++", 15, 0, 4, 19
"/Users/lukedigiovanna/Programming/cpp/videogame/src/render/Window.cpp", "C++", 26, 0, 8, 34
"/Users/lukedigiovanna/Programming/cpp/videogame/src/render/Window.h", "C++", 16, 0, 5, 21
"/Users/lukedigiovanna/Programming/cpp/videogame/src/render/meshes.cpp", "C++", 69, 0, 14, 83
"/Users/lukedigiovanna/Programming/cpp/videogame/src/render/meshes.h", "C++", 11, 0, 5, 16
"/Users/lukedigiovanna/Programming/cpp/videogame/src/render/textures.cpp", "C++", 23, 0, 4, 27
"/Users/lukedigiovanna/Programming/cpp/videogame/src/render/textures.h", "C++", 13, 1, 4, 18
"/Users/lukedigiovanna/Programming/cpp/videogame/src/utils/io.cpp", "C++", 9, 1, 2, 12
"/Users/lukedigiovanna/Programming/cpp/videogame/src/utils/io.h", "C++", 5, 0, 3, 8
"/Users/lukedigiovanna/Programming/cpp/videogame/src/utils/keyboard.cpp", "C++", 24, 2, 4, 30
"/Users/lukedigiovanna/Programming/cpp/videogame/src/utils/keyboard.h", "C++", 6, 0, 2, 8
"Total", "-", 686, 30, 183, 899
